station_code,city_name,station_name,geometry
009151,Perth,Subiaco Wastewater Treatment Plant,"c(115.79, -31.96)"
023011,Adelaide,North Adelaide,"c(138.6, -34.92)"
040383,Brisbane,Greenslopes Private Hospital,"c(153.05, -27.51)"
040913,Brisbane,Brisbane,"c(153.04, -27.48)"
066062,Sydney,Observatory Hill,"c(151.21, -33.86)"
070351,Canberra,Canberra Airport,"c(149.2, -35.31)"
086232,Melbourne,Melbourne Botanical Gardens,"c(144.98, -37.83)"
